|shop_name|category_full|title|desc
29|polski_koszyk|1.1.Chleb i zboża|Alce Nero Wafle ryżowe pełnoziarniste BIO 100 g|Czternaście ekologicznych wafli, wyłącznie z pełnoziarnistego ryżu. Nie zawierają dodatku soli oraz cukru.Mogą stanowić substytut konwencjonalnego chleba, czy słodkich przekąsek.Aby wydobyć pełen aromat wafli ryżowych, propunujemy podgrzać je w kuchence mikrofalowej lub piecyku przez kilka minut.Z dodatkiem pomidora oraz bazylii, będą stanowić wyśmienity, lekko strawny i dietetyczny posiłek.
30|polski_koszyk|1.1.Chleb i zboża|Alce Nero Wafle ryżowe pełnoziarniste z 4 ziarnami BIO 100 g|Czternaście ekologicznych wafli z pełnoziarnistego ryżu, z dodatkiem prosa, gryki, amarantusa oraz ziarna quinoa.Mogą stanowić substytut konwencjonalnego chleba, czy słodkich przekąsek.Aby wydobyć pełen aromat wafli ryżowych, propunujemy podgrzać je w kuchence mikrofalowej lub piecyku przez kilka minut.Z dodatkiem pomidora oraz bazylii, będą stanowić wyśmienity, lekko strawny i dietetyczny posiłek.
31|polski_koszyk|1.1.Chleb i zboża|Allos Musli orkiszowe Św. Hildegardy BIO 500 g|Skład Musli Orkiszowych św. Hildegardy BIO 500 g były inspirowane wskazówkami dietetycznymi św. Hildegardy z Bingen.Święta szczególnie ceniła walory orkiszu. Winogrona, gruszki, wiśnie, a także nasiona babki płesznik, oraz przyprawy: cynamon, galangal i bertram również należały do ulubionych i ważnych składników dietetycznych świętej Hildegardy.Musli wyśmienicie smakuje z mlekiem lub jogurtem. Stanowi idealne pożywne śniadanie każdego dnia.
32|polski_koszyk|1.1.Chleb i zboża|Allos Pieczywo chrupkie amarantusowe BIO 250 g|Ekologiczne pieczywo chrupkie, niezwykle lekkie i aromatyczne.Wyprodukowane zostało wyłącznie z pełnoziarnistej mąki, dzięki czemu zachowało najważniejsze wartości odżywcze znajdujące się w łusce ziarna.
33|polski_koszyk|1.1.Chleb i zboża|Amaizin Papier Ryżowy Bezglutenowy Bio 110 g|Papier ryżowy może być wykorzystany do przyrządzania vietnamskich placków zwanych Banh Trang. Papier ryżowy można wypełnić świeżymi, chrupiącymi składnikami i polać sosem według uznaniaPapier ryżowy należy zanużyć na 10 sekund w letniej wodzie. Wybrane dodatki nałożyć na zwilżony papier i zawinąć w rulon.
34|polski_koszyk|1.1.Chleb i zboża|Amaizin Tortilla wraps źródło błonnika pokarmowego BIO 240 g|Zawiera dwa razy więcej błonnika na 100 g niż zwykła tortilla.Idealna dla dzieci. 6 placków w opakowaniu.Tortille mogą być wypełnione prawie wszystkim: różnymi rodzajami mięs, ryb, fasolą, sałatkami, tofu, sosami.Odpowiednia także do wypełnienia lodami czy bitą śmietaną jako danie na przyjęcie.
35|polski_koszyk|1.1.Chleb i zboża|Amarello Jaglanka z amarantusem i malinami bezglutenowa BIO 150 g|Dodaj mleko (może być vege), jogurt lub sok wymieszaj i rozkoszuj się wartościowym posiłkiem.Wysoka zawartość magnezu i żelaza.
36|polski_koszyk|1.1.Chleb i zboża|Amarello Jaglanka z miodem bezglutenowa BIO 150 g|Skomponuj swoją ulubioną jaglankę – dodaj orzechy, świeże lub suszone owoce, pokruszoną czekoladę.Możesz też po prostu wymieszać z jogurtem, mlekiem (może być vege) lub sokiem.
37|polski_koszyk|1.1.Chleb i zboża|Amarello Musli Kolumba bezglutenowe BIO 160 g|Wysoka zawartość błonnika, magnezu i żelaza.Jako dodatek do mleka, jogurtu, deserów lub do bezpośredniego spożycia jako słodka, pożywna przekąska.
38|polski_koszyk|1.1.Chleb i zboża|Babalscy Makaron (Orkiszowy razowy) Świderki BIO 400 g|Orkisz to jedno z najcenniejszych zbóż, wzmacnia organizm, pomaga przy zmęczeniu i spadku energii.Posiada właściwości przeciwzapalne i antyalergiczne, obniża poziom złego cholesterolu, wzmacnia narządy zmysłów,spowania porocesy starzenia się organizmu.Makaron orkiszowy jest źródłem błonnika, magnezu, wapnia, żelaza oraz witamin.
39|polski_koszyk|1.1.Chleb i zboża|Babalscy Makaron żytni razowy nitka BIO 400 g|Ekologiczny makaron żytni razowy produkowany z mąki żytniej razowej Typ 2000 zmielonej na kamiennych żarnach.Jedno opakowanie 400 g to smaczny obiad dla czteroosobowej rodziny.SPOSÓB PRZYGOTOWANIAZagotować dostateczną ilość wody (3l na op. makaronu) dowolnie osolonej. Dodać odrobinę tłuszczu roślinnego (oleju).Wrzucać stopniowo makaron i gotować do chwili, kiedy będzie dostatecznie miękki (około 10 min.)Następnie odstawić z ognia, przelać zimną wodą, odcedzić.
40|polski_koszyk|1.1.Chleb i zboża|Babalscy Makaron Żytni Razowy Świderki BIO 400 g|Makaron Żytni Razowy.
41|polski_koszyk|1.1.Chleb i zboża|Barilla Makaron Bavette 500 g|Bavette narodziło się w Genui i ma kształt spłaszczonego spaghetti. To długi, typowo liguryjski makaron podczas gdy nazwa najsłynniejszego makaronu – Spaghetti – pochodzi z Neapolu, Genueńczycy mogą szczycić się właśnie makaronem Bavette. Zazwyczaj podawane z tradycyjnym Pesto alla Genovese, świetnie pasuje do wszelkich sosów na bazie warzyw i ryb.Bavette świetnie wydobywa smak sosów. Dzięki spłaszczonemu przekrojowi i lekko wklęsłemu kształtowi doskonale łączy się z sosem i pozwala w pełni oddać jego aromat.
42|polski_koszyk|1.1.Chleb i zboża|Barilla Makaron Farfalle 500 g|Makaron Farfalle powstaje z ciasta wycinanego w zaciśnięte pośrodku kwadraciki tworzące kształt motylka. Ma delikatną powierzchnię, która podczas degustacji pozwala odkryć różnicę między twardszym środkiem i mniej twardymi brzegami – prawdziwy rarytas dla smakoszy. Jest to jeden z najweselszych kształtów makaronu, świetnie odpowiadający gustom każdego podniebienia.Makaron Farfalle to kwintesencja lekkości i żywotności, nawiązujący swoim naturalnym kolorem do jasnego słońca i ziarna pszenicy. Farfalle Barilla dzięki swemu fantazyjnemu kształtowi może urozmaicić codzienne dania. Szczególnie dobrze prezentuje się z lekkimi dodatkami na bazie warzyw.
43|polski_koszyk|1.1.Chleb i zboża|Barilla Makaron Fusilli 500 g|Makaron Barilla wyprodukowany jest z najlepszej jakości surowców, czyli pszenicy twardej (durum), bez której nie można stworzyć prawdziwego makaronu o cenionej powszechnie właściwości al dente. Makaron taki podczas gotowania nie skleja się, jest sprężysty i zachowuje swój kształt nawet, jeśli się gotuje go nieco za długo. Fusilli to kształt cieszący się popularnością na całym świecie. Dobry dodatek do cięższych sosów na bazie mięsa i serów (np. carbonara).Aby dowiedzieć się więcej o świecie Barilla, odwiedź nas na www.barilla.com
44|polski_koszyk|1.1.Chleb i zboża|Barilla makaron gniazda wstążki tagiatelle 500 g|Tagliatelle jajeczne 500 gLegenda głosi, że makaron Tagliatelle został zainspirowany puklami pewnej damy z renesansowej Italii – utalentowany kucharz przygotował właśnie taki makaron z okazji jej ślubu. Barilla odkryła na nowo ten rodzaj makaronu, dbając przede wszystkim o jakość składników i staranne przygotowanie ciasta tak, aby było ono niezbyt gładkie i porowate, co zapewnia dobre łączenie się z dodatkami. Jajeczne Tagiatelle Barilla jest dzisiaj osobną kategorią pośród najbardziej wyrafinowanych i smakowitych makaronów.Tagiatelle Barilla to cienkie, płaskie pasy ciasta. Wykonany w oparciu o najlepsze składniki, jest niezwykle lekki, dzięki czemu zwija się, tworząc swoiste “gniazda”. Ugotowany, miękki makaron bez problemu można rozwinąć i położyć na talerzu – prezentuje się bardzo elegancko. Przygotowane na bazie jaj i semoliny Tagiatelle jest ważnym składnikiem wielu potraw kuchni włoskiej. Stanowi doskonałą podstawę do ciężkich sosów, najczęściej na bazie mięsa, ryb, śmietany. Barilla Tagliatelle doda kreatywnej nuty do wszystkiego, co przygotowujecie w kuchni.
45|polski_koszyk|1.1.Chleb i zboża|Barilla Makaron Gnocchi 500 g|Barilla to włoska, rodzinna firma spożywcza, która została założona w 1877 roku.Obecnie jest już międzynarodową Grupą, obecną w ponad 100 krajach.To światowy lider na rynku makaronów i gotowych sosów w Europie kontynentalnej, produktów piekarniczych we Włoszech i chrupkiego pieczywa w Skandynawii.Grupa Barilla jest uznawana na całym świecie jako symbol włoskiej wiedzy specjalistycznej.Instrukcje dotyczące przygotowaniaGotować we wrzątku – Od temperatury otoczeniaDo 1 litra wrzącej wody dodać 7 g soli i 100 g makaronu, gotować przez 11 minut mieszając od czasu do czasu. Po ugotowaniu makaron odcedzić i podawać.
46|polski_koszyk|1.1.Chleb i zboża|Barilla makaron mezze penne trzy kolory 500 g|Mezze Penne TricoloreTen rodzaj makaronu to ukłon w stronę włoskiej flagi wyrażony w jednym z najpopularniejszych kształtów. Efekt kolorystyczny osiąga się poprzez dodanie do ciasta szpinaku oraz sosu pomidorowego, a sam makaron idealnie pasuje do wielu rodzajów sosów.Makaron Penne, stworzone dzięki bogatej fantazji mieszkańców Włoch w niezliczonej liczbie odmian, od samego początku jest uważany za najbardziej kreatywny rodzaj makaronu. Dzięki ukośnemu ścięciu końców na kształt pióra nadają każdemu daniu ciekawy i dynamiczny wygląd.Czas gotowania 11 min.
47|polski_koszyk|1.1.Chleb i zboża|Barilla makaron rurki nacinane rigatoni 500 g|RigatoniRigatoni, jeden z najpopularniejszych rodzajów makaronu pochodzi z Rzymu i jest ściśle związany z włoską tradycją kulinarną.Nieprzypadkowo zatem makaron Rigatoni stał się bohaterem filmu reklamowego, nakręconego dla Barilla przez Federico Felliniego w 1985 r. Wielu z nas pamięta elegancką panią, która ignorując górnolotne nazwy francuskich potraw, zamawia u kelnera po prostu “Rigatoni”Makaron Rigatoni posiada charakterystyczny, szeroki przekrój i żłobkowanie po zewnętrznej stronie, co pozwala mu zagościć w wielu włoskich domach jako podstawa prostych lub wyszukanych, ale zawsze udanych dań. Świetnie zatrzymuje sos na zewnętrznej i wewnętrznej powierzchni, podkreślając jego aromatyczne niuanse w harmonijnej symfonii smaku.
48|polski_koszyk|1.1.Chleb i zboża|Barilla Makaron Tagliatelle 1 kg|Barilla to włoska, rodzinna firma spożywcza, która została założona w 1877 roku.Obecnie jest już międzynarodową Grupą, obecną w ponad 100 krajach.To światowy lider na rynku makaronów i gotowych sosów w Europie kontynentalnej, produktów piekarniczych we Włoszech i chrupkiego pieczywa w Skandynawii.Grupa Barilla jest uznawana na całym świecie jako symbol włoskiej wiedzy specjalistycznej.Sposób przygotowania: do 10 litrów wrzącej wody dodać 70 g soli i 1 kg makaronu, gotować przez 6 minut mieszając od czasu do czasu. Po ugotowaniu makaron odcedzić i podawać.
49|polski_koszyk|1.1.Chleb i zboża|Bio Europa Makaron (2-Jajeczny) Krajanka Bio 250 g|Makaron 2-Jajeczny Krajanka BIO 250 gMakaron gotować w osolonej wodzie przez 4 – 8 min, w proporcji 100g makaronu na 1 l wody.
50|polski_koszyk|1.1.Chleb i zboża|Bio Europa Makaron (2-Jajeczny) Wstążka Bio 250 g|Makaron (2-jajeczny) wstążka 250 gMakaron gotować w osolonej wodzie przez 4 – 8 min, w proporcji 100g makaronu na 1 l wody.
51|polski_koszyk|1.1.Chleb i zboża|Eko Taste Biszkopty kukurydziane BIO 150 g|Biszkopty kukurydziane ekologiczne.
52|polski_koszyk|1.1.Chleb i zboża|Eko Taste Herbatniki wegańskie orkiszowe BIO 190 g|Delikatne wytrawne herbatniki wypiekane z ekologicznej mąki orkiszowe*j razowej. Orkisz – odmiana *pszenicy, którą żywili się rzymscy gladiatorzy z powodu jej odżywczych właściwości, sprawia, że pyszne herbatniki są wysokowartościową przekąską, przygotowaną ze składników w 100% naturalnych. Bez dodatku cukru, produktów zwierzęcych, polepszaczy, barwników i konserwantów.Słodzone syropem jęczmiennym.Wyrabiane ręcznie!
53|polski_koszyk|1.1.Chleb i zboża|Eko Taste Herbatniki wegańskie żytnie BIO 190 g|Delikatne wytrawne herbatniki wypiekane z żytniej razowej mąki, nadającej im wyjątkowy ostry smak żyta. Wyśmienita wysokowartościowa przekąska przygotowana ze składników w 100% naturalnych Bez dodatku cukru, produktów zwierzęcych, polepszaczy, barwników i konserwantów.Słodzone syropem jęczmiennym.Wyrabiane ręcznie!
54|polski_koszyk|1.1.Chleb i zboża|Eko Taste Kokosanki BIO 200 g|Złocisto białe, chrupiące ciasteczka, wypiekane z delikatnie słodkich soczystych wiórków kokosowych oraz płatków z amarantusa, bez dodatku mąki. Wspaniały deser, jak również sycąca wysokowartościowa przekąska przygotowana ze składników w 100% naturalnych. Bez dodatku cukru i mąki, przetworów zwierzęcych, polepszaczy, barwników i konserwantów.Słodzone syropem kukurydzianym.Wyrabiane ręcznie!
55|polski_koszyk|1.1.Chleb i zboża|Eko-Mega Młyny Wodne Mąka Orkiszowa Chlebowa Typ 1100 Bio 1 kg|Mąka orkiszowa chlebowa wyprodukowana z orkiszu idealnie nadaje się jako mąkę do pieczenia chleba i jako mąka do gotowania.Orkisz niegdyś bardzo popularny, dziś na nowo odkrywany. Bogactwo wartości odżywczych.Właściwości mąki *orkiszowe*j pod względem kulinarnym / do pieczenia są bardzo podobne do mąki pszennej.
56|polski_koszyk|1.1.Chleb i zboża|Eko-Mega Młyny Wodne Mąka orkiszowa razowa Typ 2000 1kg|Mąka orkiszowa razowa typ 2000.
57|polski_koszyk|1.1.Chleb i zboża|Eko-Mega Młyny Wodne Mąka Pszenna Chlebowa Typ 750 Bio 1 kg|Ekologiczna mąka pszenna “chlebowa” otrzymywana jest przez rozdrobnienie oczyszczonych ziaren pszenicy zwyczajnej.Jest podstawowym składnikiem wyrobów piekarniczych, ale może służyć również do wszelkiego rodzaju wypieków oraz wyrobów mącznych.
58|polski_koszyk|1.1.Chleb i zboża|Eko-Mega Młyny Wodne Mąka Żytnia Chlebowa Typ 720 Bio 1 kg|Mąkę żytnia chlebowa (typ 720) jest świetna do zrobienia zakwasu i do nauki pieczenia chleba.Młyny Wodne posiadają certyfikat ekologiczny. Warto spróbować nie tylko domowego wypieku chleba z ekologicznej mąki Młyny Wodne, ale również wykorzystać te mąki do “zwykłych” dań mącznych jak naleśniki, pierogi, ciasta.
59|polski_koszyk|1.1.Chleb i zboża|Eko-Mega Młyny Wodne Mąka żytnia razowa Typ 2000 BIO 1kg|mąka żytnia razowa typ 2000.
